customer_id,recency,frequency,monetary,rfm_score,customer_segment
18102,0,145,608821.65,555,Champions
14646,1,151,528602.52,555,Champions
14156,9,156,313946.37,555,Champions
14911,1,398,295972.63,555,Champions
17450,8,51,246973.09,555,Champions
13694,3,143,196482.81,555,Champions
17511,2,60,175603.55,555,Champions
16446,0,2,168472.5,535,Regular
16684,4,55,147142.77,555,Champions
12415,24,28,144458.37,455,Loyal Customers
15061,3,127,137818.52,555,Champions
16029,38,107,122209.14,455,Loyal Customers
17949,1,118,118628.08,555,Champions
15311,0,208,116771.16,555,Champions
13089,2,203,116737.86,555,Champions
12931,21,57,92347.34,455,Loyal Customers
14298,8,82,91194.49,555,Champions
15769,7,46,88704.32,555,Champions
12346,325,12,77556.46,255,Loyal Customers
13798,1,110,75836.87,555,Champions
15838,11,34,74163.0,555,Champions
17841,1,211,70884.07,555,Champions
16754,372,29,67502.47,255,Loyal Customers
14096,4,17,65164.79,555,Champions
14088,10,16,64036.8,555,Champions
16422,17,109,63651.47,555,Champions
13081,11,28,59205.15,555,Champions
16013,3,84,57446.44,555,Champions
14680,25,58,57412.77,455,Loyal Customers
17389,0,61,57224.68,555,Champions
17850,372,155,56600.08,255,Loyal Customers
12748,0,336,56599.39,555,Champions
13777,0,61,56478.42,555,Champions
13093,275,55,54943.65,255,Loyal Customers
13408,1,106,51733.462,555,Champions
17404,4,23,47781.12,555,Champions
13881,3,43,45179.1,555,Champions
15749,235,3,44534.3,235,Regular
16705,0,42,43515.051,555,Champions
14031,7,44,40999.17,555,Champions
15039,9,93,40031.43,555,Champions
17381,8,38,40002.37,555,Champions
12471,2,79,39963.79,555,Champions
15098,182,3,39916.5,335,Regular
16210,1,35,38489.51,555,Champions
17675,1,70,38259.6,555,Champions
17677,1,54,36692.91,555,Champions
12921,9,74,35921.04,555,Champions
13767,2,73,35540.53,555,Champions
12678,42,21,34281.18,455,Loyal Customers
15856,4,52,34220.340000000004,555,Champions
13902,632,5,34095.26,145,Loyal Customers
16779,2,53,33268.24,555,Champions
14258,9,25,32051.34,555,Champions
17428,0,45,31819.760000000002,555,Champions
12709,15,34,31093.34,555,Champions
12681,14,45,30868.28,555,Champions
14606,1,192,30861.06,555,Champions
17940,49,16,30393.19,455,Loyal Customers
13078,3,57,29532.45,555,Champions
13098,1,28,28882.44,555,Champions
17857,4,24,28682.24,555,Champions
14527,2,122,27792.3,555,Champions
15513,33,35,27750.55,455,Loyal Customers
16333,7,22,26626.8,555,Champions
17865,30,46,26374.39,455,Loyal Customers
18251,87,9,26278.86,355,Loyal Customers
13802,138,19,26259.11,355,Loyal Customers
15498,2,44,26039.58,555,Champions
12731,23,17,25775.71,455,Loyal Customers
14062,9,24,25604.2,555,Champions
12744,51,11,25317.06,455,Loyal Customers
12939,64,20,25264.8,355,Loyal Customers
14895,7,38,25119.54,555,Champions
12621,1,35,24775.81,555,Champions
16525,2,48,24582.64,555,Champions
17920,4,54,24516.46,555,Champions
13001,4,33,24172.100000000002,555,Champions
14607,15,22,24137.63,555,Champions
12682,3,52,24033.91,555,Champions
15640,4,29,23957.58,555,Champions
12482,576,29,23691.4,155,Loyal Customers
12409,78,7,23419.29,345,Loyal Customers
16133,3,56,22992.260000000002,555,Champions
14063,438,9,22710.2,155,Loyal Customers
14051,0,37,22434.0,555,Champions
17340,29,18,22404.82,455,Loyal Customers
16839,8,44,22310.49,555,Champions
12540,19,33,22254.49,555,Champions
15159,1,34,22116.73,555,Champions
13340,45,12,22100.56,455,Loyal Customers
13319,5,58,22082.5,555,Champions
14667,10,54,21927.14,555,Champions
12753,22,6,21429.39,445,Loyal Customers
15615,10,47,21373.97,555,Champions
17243,1,69,20889.86,555,Champions
14866,10,19,20850.22,555,Champions
17706,4,31,20749.98,555,Champions
12433,0,10,20581.26,555,Champions
15251,9,21,20324.54,555,Champions
12477,22,9,20276.37,455,Loyal Customers
18008,70,23,19787.13,355,Loyal Customers
17139,15,25,19584.46,555,Champions
16843,42,35,19571.43,455,Loyal Customers
17581,0,43,18757.75,555,Champions
12557,16,8,18716.14,555,Champions
14194,4,36,18670.59,555,Champions
13113,0,37,18625.73,555,Champions
15808,306,21,18409.93,255,Loyal Customers
17377,23,78,18319.41,455,Loyal Customers
12357,33,3,18287.66,435,Regular
16746,4,42,18066.4,555,Champions
12647,22,36,17924.35,455,Loyal Customers
12472,32,19,17880.59,455,Loyal Customers
15078,7,53,17761.88,555,Champions
12901,8,28,17654.54,555,Champions
14952,59,32,17629.35,355,Loyal Customers
16652,58,16,17550.39,455,Loyal Customers
15189,1,46,17524.38,555,Champions
18172,14,52,17479.84,555,Champions
16019,46,27,17465.85,455,Loyal Customers
15523,84,16,17359.99,355,Loyal Customers
13027,113,19,17335.2,355,Loyal Customers
17416,29,22,17298.45,455,Loyal Customers
13564,144,37,17249.55,355,Loyal Customers
17735,2,26,17244.93,555,Champions
14277,15,9,17225.81,555,Champions
15358,4,42,17050.41,555,Champions
15125,25,24,17024.87,455,Loyal Customers
16656,22,30,16833.170000000002,455,Loyal Customers
12454,56,5,16679.78,445,Loyal Customers
16553,163,33,16644.01,355,Loyal Customers
13199,3,67,16432.89,555,Champions
14961,10,22,16410.15,555,Champions
13225,3,16,16260.07,555,Champions
16180,100,13,16249.87,355,Loyal Customers
12980,157,21,16245.78,355,Loyal Customers
15044,19,35,16204.33,555,Champions
14733,16,15,16184.97,555,Champions
18092,2,18,16179.44,555,Champions
17107,33,10,16075.42,455,Loyal Customers
12971,3,116,15972.79,555,Champions
17716,22,24,15956.97,455,Loyal Customers
14769,2,17,15771.88,555,Champions
14849,21,43,15763.45,455,Loyal Customers
16191,2,24,15688.02,555,Champions
15768,115,34,15601.09,355,Loyal Customers
13488,17,23,15587.88,555,Champions
12949,30,22,15526.7,455,Loyal Customers
15601,11,30,14960.12,555,Champions
14543,28,39,14906.77,455,Loyal Customers
18087,98,17,14761.519999999999,355,Loyal Customers
16126,29,15,14646.800000000001,455,Loyal Customers
17133,15,12,14622.33,555,Champions
16873,4,12,14617.39,555,Champions
15482,15,19,14592.56,555,Champions
16713,18,32,14560.69,555,Champions
17448,497,46,14556.97,155,Loyal Customers
14299,8,27,14499.49,555,Champions
12583,2,27,14447.44,555,Champions
15093,18,23,14326.11,555,Champions
12476,15,23,14115.41,555,Champions
17017,2,29,14110.609999999999,555,Champions
15005,15,56,14106.2,555,Champions
13090,8,24,14103.09,555,Champions
12714,9,12,14093.710000000001,555,Champions
13178,26,21,14059.19,455,Loyal Customers
17589,60,18,14049.87,355,Loyal Customers
18223,4,26,14000.85,555,Champions
15502,15,14,13993.47,555,Champions
12435,79,6,13925.93,345,Loyal Customers
15760,630,2,13916.34,135,Regular
16558,0,38,13873.51,555,Champions
15291,25,40,13846.56,455,Loyal Customers
15032,256,8,13780.65,255,Loyal Customers
15382,14,12,13733.550000000001,555,Champions
12567,22,15,13709.86,455,Loyal Customers
12989,3,33,13551.75,555,Champions
13468,1,72,13390.51,555,Champions
13097,32,28,13389.22,455,Loyal Customers
16923,12,32,13378.36,555,Champions
15738,18,41,13372.970000000001,555,Champions
13629,23,19,13370.86,455,Loyal Customers
13969,7,35,13365.87,555,Champions
14049,16,13,13239.03,555,Champions
13316,37,10,13191.57,455,Loyal Customers
16549,10,34,13182.19,555,Champions
13668,2,35,13089.94,555,Champions
18225,3,26,13054.26,555,Champions
14110,3,33,12987.95,555,Champions
16161,1,43,12831.8,555,Champions
13952,217,14,12823.521,255,Loyal Customers
17858,5,30,12797.65,555,Champions
12683,4,21,12696.78,555,Champions
12437,1,39,12683.4,555,Champions
12451,10,8,12669.88,555,Champions
15465,19,32,12655.65,555,Champions
14040,40,35,12645.57,455,Loyal Customers
13013,1,29,12625.77,555,Champions
12536,43,3,12601.83,435,Regular
16814,14,36,12499.710000000001,555,Champions
15194,3,28,12427.69,555,Champions
12474,17,31,12424.45,555,Champions
14936,33,12,12410.81,455,Loyal Customers
16000,2,3,12393.7,535,Regular
12481,22,15,12361.39,455,Loyal Customers
13050,14,35,12344.53,555,Champions
14739,4,25,12287.5,555,Champions
13854,8,39,12253.96,555,Champions
14735,3,56,12240.16,555,Champions
13418,11,31,12233.6,555,Champions
15023,3,20,12170.68,555,Champions
15144,8,29,12160.31,555,Champions
17338,17,17,12142.57,555,Champions
15555,12,36,12112.35,555,Champions
14415,1,23,12091.6,555,Champions
17364,0,28,12070.42,555,Champions
14505,17,19,12001.84,555,Champions
17044,25,12,11962.300000000001,455,Loyal Customers
13458,7,16,11959.27,555,Champions
16258,45,15,11942.52,455,Loyal Customers
16523,1,28,11916.33,555,Champions
13687,438,1,11880.84,125,Regular
18226,44,26,11878.88,455,Loyal Customers
12705,15,14,11762.1,555,Champions
14426,23,17,11727.94,455,Loyal Customers
13102,1,37,11696.92,555,Champions
13004,11,36,11650.85,555,Champions
13576,10,28,11551.74,555,Champions
15218,10,22,11516.57,555,Champions
12668,11,10,11444.68,555,Champions
13680,1,12,11435.67,555,Champions
14016,161,11,11403.41,355,Loyal Customers
17809,16,20,11337.39,555,Champions
14045,109,16,11313.029999999999,355,Loyal Customers
15874,63,21,11284.76,355,Loyal Customers
12539,22,7,11214.75,445,Loyal Customers
18055,7,14,11195.57,555,Champions
12524,9,17,11126.11,555,Champions
14134,382,15,11123.35,255,Loyal Customers
13941,21,15,11122.300000000001,455,Loyal Customers
12918,626,1,10953.5,125,Regular
16985,17,23,10923.16,555,Champions
14796,1,27,10889.64,555,Champions
18052,564,1,10877.18,125,Regular
12431,35,27,10857.97,455,Loyal Customers
16033,5,27,10836.13,555,Champions
15694,0,24,10810.81,555,Champions
18229,11,28,10803.710000000001,555,Champions
16984,88,9,10754.8,355,Loyal Customers
16327,14,16,10731.34,555,Champions
16168,10,66,10636.47,555,Champions
13324,36,18,10513.47,455,Loyal Customers
15290,4,26,10496.28,555,Champions
16782,10,38,10438.41,555,Champions
14028,550,3,10396.5,135,Regular
15296,50,12,10342.83,455,Loyal Customers
14422,0,19,10271.52,555,Champions
15719,32,31,10223.06,455,Loyal Customers
17160,31,17,10209.16,455,Loyal Customers
15805,23,30,10189.23,455,Loyal Customers
13599,1,33,10167.630000000001,555,Champions
15547,7,26,10154.39,555,Champions
14085,2,33,10104.97,555,Champions
12839,2,26,10071.73,555,Champions
12766,3,9,10068.28,555,Champions
13985,4,22,10020.86,555,Champions
16353,3,38,9999.460000000001,555,Champions
14755,9,25,9972.550000000001,555,Champions
16182,72,9,9971.65,355,Loyal Customers
18260,172,23,9962.11,355,Loyal Customers
14101,73,13,9961.93,355,Loyal Customers
16131,51,12,9957.42,455,Loyal Customers
17049,2,19,9947.48,555,Champions
14329,17,15,9927.22,555,Champions
17230,264,18,9924.95,255,Loyal Customers
16701,8,26,9916.73,555,Champions
12758,116,7,9903.24,345,Loyal Customers
18109,1,38,9893.96,555,Champions
13327,38,20,9879.48,455,Loyal Customers
12590,211,2,9864.26,235,Regular
14828,196,13,9839.460000000001,255,Loyal Customers
12490,5,21,9823.64,555,Champions
13735,24,13,9813.22,455,Loyal Customers
14944,29,19,9784.67,455,Loyal Customers
17306,10,21,9782.35,555,Champions
13018,16,35,9763.16,555,Champions
13267,2,36,9758.26,555,Champions
13069,0,38,9683.13,555,Champions
12380,21,11,9676.3,455,Loyal Customers
17315,1,43,9650.6,555,Champions
14135,1,24,9643.92,555,Champions
17811,4,47,9609.8,555,Champions
17504,206,18,9565.12,255,Loyal Customers
14091,654,2,9530.08,135,Regular
14060,4,30,9519.08,555,Champions
13999,10,29,9502.26,555,Champions
13174,16,12,9494.84,555,Champions
15298,2,23,9459.37,555,Champions
14146,8,12,9450.3,555,Champions
15727,16,15,9445.51,555,Champions
14439,319,5,9443.04,245,Loyal Customers
16550,108,18,9435.13,355,Loyal Customers
17757,1,56,9422.45,555,Champions
13758,11,15,9416.98,555,Champions
15981,24,21,9362.77,455,Loyal Customers
15570,7,25,9311.04,555,Champions
12747,2,26,9276.539999999999,555,Champions
13162,122,16,9275.49,355,Loyal Customers
15249,31,18,9266.0,455,Loyal Customers
14367,8,16,9261.52,555,Champions
13448,16,13,9240.87,555,Champions
14292,7,16,9226.25,555,Champions
13756,2,23,9207.5,555,Champions
15260,100,25,9188.23,355,Loyal Customers
16700,8,25,9167.710000000001,555,Champions
17068,12,47,9161.08,555,Champions
16709,84,14,9087.460000000001,355,Loyal Customers
15867,5,31,9063.95,555,Champions
15939,89,16,9060.39,355,Loyal Customers
17576,8,41,9056.81,555,Champions
12755,280,11,9030.66,255,Loyal Customers
16186,22,26,9026.11,455,Loyal Customers
15150,17,13,9001.08,555,Champions
13555,73,13,8999.19,355,Loyal Customers
16722,17,22,8989.08,555,Champions
15903,9,12,8939.84,555,Champions
12359,57,10,8935.94,455,Loyal Customers
13269,1,28,8891.7,555,Champions
14709,15,25,8886.33,555,Champions
17396,39,14,8807.1,455,Loyal Customers
13047,31,24,8795.16,455,Loyal Customers
15984,2,30,8759.32,555,Champions
16532,17,5,8756.64,545,Loyal Customers
18041,11,38,8752.38,555,Champions
12957,9,13,8706.97,555,Champions
13263,1,39,8704.69,555,Champions
15955,24,22,8658.36,455,Loyal Customers
15497,17,9,8657.39,555,Champions
13148,29,26,8621.81,455,Loyal Customers
16945,21,33,8548.16,455,Loyal Customers
15281,58,16,8543.57,455,Loyal Customers
15270,15,21,8524.86,555,Champions
15786,46,5,8514.82,445,Loyal Customers
12798,10,4,8510.93,545,Loyal Customers
13209,30,13,8509.51,455,Loyal Customers
13715,281,17,8483.29,255,Loyal Customers
14286,23,7,8479.76,445,Loyal Customers
18139,17,6,8438.34,545,Loyal Customers
14160,610,7,8421.47,145,Loyal Customers
14057,23,22,8408.84,455,Loyal Customers
13206,400,13,8377.32,255,Loyal Customers
17611,7,28,8371.98,555,Champions
14676,31,12,8356.79,455,Loyal Customers
12643,128,12,8350.42,355,Loyal Customers
12637,67,12,8340.31,355,Loyal Customers
15034,15,14,8313.4,555,Champions
15998,36,16,8308.34,455,Loyal Customers
17686,7,9,8296.81,555,Champions
14030,18,20,8262.29,555,Champions
12720,2,30,8260.67,555,Champions
14525,19,17,8240.64,555,Champions
17365,12,15,8224.98,555,Champions
13381,31,12,8224.37,455,Loyal Customers
14056,1,23,8214.65,555,Champions
14395,2,20,8208.01,555,Champions
13139,16,8,8202.98,555,Champions
13426,0,22,8167.38,555,Champions
15544,9,20,8162.43,555,Champions
16672,2,20,8134.94,555,Champions
13869,123,10,8111.57,355,Loyal Customers
17593,3,11,8095.8,555,Champions
17426,8,13,8077.77,555,Champions
